"","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_apple_charts","bpm","danceability_.","valence_.","energy_.","acousticness_.","instrumentalness_.","liveness_.","speechiness_."
"624",1,2013,8,1,27221,0,2086124197,308,118,120,42,33,26,92,0,13,3
"625",1,1991,9,10,49991,9,1690192927,265,121,117,52,73,91,0,0,11,7
"627",2,2021,9,3,5403,6,593917618,118,116,168,67,29,47,5,0,22,26
"628",2,2021,11,11,755,4,200972675,22,3,94,52,68,69,13,0,33,8
"629",1,2022,1,10,254,0,71014967,0,4,145,41,65,88,0,0,26,5
"630",2,2021,8,27,6308,5,560222750,114,15,134,71,14,61,1,0,23,33
"631",1,2003,9,23,51979,15,1806617704,306,99,148,35,24,93,0,0,10,8
"632",1,2022,1,10,246,0,77337771,2,12,127,60,40,89,9,0,60,6
"633",3,2021,6,24,6556,0,528544703,93,5,172,74,79,66,11,0,8,16
"634",1,2019,11,7,5728,0,865640097,85,87,90,75,19,46,21,4,34,8
"635",2,2018,9,27,16636,12,2159346687,368,155,96,57,30,40,38,0,26,3
"636",1,2022,1,10,461,0,211372494,10,56,138,74,65,67,46,0,36,4
"637",2,2021,4,28,4893,4,651732901,143,24,120,72,67,72,0,0,13,4
"638",1,2021,7,9,1801,2,608334048,77,134,125,70,65,74,1,0,34,4
"639",4,2021,1,15,12043,0,863756573,209,54,123,82,80,86,1,0,30,13
"640",1,2021,4,9,4731,0,797402345,141,12,81,79,44,54,41,0,13,24
"641",2,2002,5,26,22923,0,1695712020,78,46,171,55,10,85,7,0,8,20
"642",1,2019,9,20,9974,2,1759567999,272,67,91,77,60,32,84,0,8,5
"643",8,2021,8,12,1560,0,223319934,72,0,84,56,61,76,10,0,14,11
"644",2,2022,1,7,620,0,54937991,17,3,115,90,74,54,16,0,13,28
"645",2,2021,12,29,3270,0,226897599,89,21,125,69,70,89,4,0,49,3
"646",2,2021,10,14,580,0,258316038,24,92,122,80,62,69,28,0,13,7
"647",2,2021,4,29,3406,16,596152090,61,23,92,85,92,54,16,0,29,7
"648",3,2021,11,18,903,0,177129919,30,26,90,63,75,75,17,0,11,8
"649",2,2022,2,10,6809,28,716591492,151,102,94,84,90,70,9,0,14,8
"650",2,1999,1,1,33966,0,1210599487,141,78,93,81,53,78,18,0,6,24
"651",1,2022,2,11,590,5,246376690,4,113,130,51,50,76,30,0,10,7
"652",1,2022,2,11,3766,0,496311364,76,0,180,35,23,61,23,0,19,6
"653",2,2022,2,11,1430,0,146789379,46,1,134,53,31,31,92,0,28,3
"654",2,1999,1,1,31762,0,843309044,142,40,95,92,31,89,3,0,8,25
"655",1,2022,1,19,4049,0,500340342,119,6,184,69,91,63,11,0,9,31
"656",3,2022,2,11,2096,0,107255472,34,3,147,47,50,80,10,0,32,38
"657",2,2022,2,2,1175,0,135079152,34,1,123,52,44,60,40,0,26,3
